	LTae1	LTae2	LTae3	LTae4	LTae5	LTae6	LTbo1	LTbo2	LTbo3	LTbo4	LTbo5	LTbo6	LTur1	LTur2	LTur3	LTur4	RTae1	RTae2	RTae3	RTae4	RTae5	RTae6	RTbo1	RTbo2	RTbo3	RTbo4	RTbo5	RTbo6	RTur1	RTur2	RTur3	RTur4	RzTae1	RzTae2	RzTae3	RzTae4	RzTae5	RzTae6	RzTbo1	RzTbo2	RzTbo3	RzTbo4	RzTbo5	RzTbo6	RzTur1	RzTur2	RzTur3	RzTur4	UnSoil1	UnSoil2	UnSoil3	UnSoil4	UnSoil5
8c468948895074870c3b8551fe19b438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1671	2102	2176	2197	2608	2021	1731	2038	984	2357	4287	530	9859	2566	5159	9183	11	21	45	52	57	59	27	0	4	5	50	16	52	19	0	21	0	0	0	0	0
4f54934909e78a52894c3a4a526114a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	1464	0	0	0	0	0	0	7	0	0	0	0	0	0	236	2553	3603	0	3591	1945	0	4661	0	1204	2945	0	0	1465	0	0	666	2740	734	1503	1495
4fc9d9572957546ef8540722d38cb004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	2656	1249	2258	1247	5131	1906	963	1203	238	1561	1580	0	2690	1590	4119	0	262	263	157	841	114
cb56c67d2db990ff84489cf5450bcf66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15a3fab65fbfd05e63e66e72850e6e0d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	151	142	36	32	35	33	156	21	310	0	0	25	254	0	125	792	762	1059	2361	791	1136	1081	353	763	682	534	723	1239	397	506	443	349	253	285	422	273
b1e043aaca8280b27938c76d1105c431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9ec7ba8690f5c5dc397a60539b61dd8e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	1544	371	150	916	1121	1329	278	906	682	582	0	386	1356	227	307	348	232	237	834	0
5b36cefb78cf840e86d357059fd42f5f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85defd83c4af086da055d7030109950f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68e5696779ef2cc4ee70145ca5dab143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c9ccc9e2781de4e670baee39098bf06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	515	280	438	356	434	220	322	718	520	971	449	1011	311	1572	907	0	0	7	11	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
bee57cfb61393793066350359eea0744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	190	222	239	234	59	0	42	363	591	6	0	54	338	6088	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	16	0	0	0	0	0
16092a8d4a2db61fd5b8bebff2318ea4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92cc91ddb170bd47474af92c008d2bcb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca7107d5b49651d41d200c5176c3c375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	112	0	0	0	0	0	0	0	21	0	293	728	0	45	261	416	215	166	26	463	421	152	361	114	220	50	46	214	497	509	900	135	32	342	137	269
6a7027db5f3c90c9a61e8665db968e64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	282	181	424	405	373	103	199	451	473	739	187	1167	135	678	750	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bfdf883c191d20c9631c75660ad11d29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	37	16	0	11	44	3	0	15	288	155	0	35	0	5873	13	0	7	3	7	0	56	0	0	0	0	13	0	0	0	89	0	0	0	0	9	0
3760d1bb71b86286d1c924fabce11741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	0	533	1715	792	0	166	674	16	0	0	0	18	35	370	0	188	0	108	586	331	0	18	65	0	0	0	0	0	0	13	0	0	0	0	20
f760e2b1b885a897f606a02904fb63e6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5d3b676467bdb31272158db5eeaf903c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6356	0	0	0	0	0
ab2471a471d4b163ce41eb99225c7548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	15	0	0	0	0	267	436	540	180	534	311	247	253	245	227	279	117	332	313	287	317	277	234	209	365	291
5f6cf0cc596395e68a940aa3041b87b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	613	0	437	2004	849	0	170	746	0	0	0	0	11	34	411	0	121	0	0	558	299	19	14	0	0	0	0	0	0	0	0	0	0	0	0	0
2d8763e202900a941831f3211891395e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6212	0	0	0	0	0	0	0	0
d8edda75e02d100e9c5473ee479e2c40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6194	0	0	0	0	0	0	0	0
9f5fb83081ed383cf7a1d302285d7347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8999bc6ce1ed6b57fef485495dc85b25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c777ee308f684cf058e5f0ad4a52318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c8f9b2034e944fb3de771513c8707f7d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72d988499d5ac599d90caa6b6e71985c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5749	0	0	0	0	0
b72948e4d968c043430fd240a856334e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5740	0
fa4e0780cd2a7b8e4bf57cd28c59e3aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	37	55	16	27	31	87	85	683	74	131	132	346	906	326	75	92	93	66	88	112	88	26	126	150	0	347	84	88	318	135	99	97	89	100	70
0b15ef3db3cbca7d430e670a59fda7af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4529abc7e926f94510c10a1f481becd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901441326553400189b4ded1c55cb8f9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5325	0	0	0	0	0	0	0	0	0	0	0	0
0b6eb420476731f271d7f497adbdfd73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5183	0	0	0	0	0	0	0	0	0	0	0	0
ca2bcf137c2ecb3887ddb703349ad39b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c8665cfb7c749cdcbced4fe891f67192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5085	0
8e498a863e2501ad83daa2dc8a1d48db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8b5a03e5cab37fc3403fcdbe513f8939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ce03a3395cb125b7cb29ddfc31eac802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cc418f6569d632bb01a964ec4fe5c390	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	15	0	0	0	0	0	26	0	0	0	0	0	0	246	395	240	154	347	343	371	223	252	204	194	248	275	333	216	168	129	106	127	256	75
94566397f24e62668e1f2366fa2714d0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4934	0	0	0	0	0	0
bed2c3fb611bf06ced8d462e9424e80f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13d2ee6cb2905a7730983aec678f50bf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4906	0	0	0	0	0	0	0	0
3e670cdf5e2f441b0d9f19df09d2daf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4881	0	0	0	0	0	0	0	0
c8d589a3da3daa2e5ced963f0aaae90e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6bb5a33175dd84794949be99968e8841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1eb75706a0aa2613d3415e0b195a8a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	22	52	345	283	199	108	369	224	283	275	284	219	244	0	185	355	230	420	78	74	92	135	147
fcdb9720e70d8da4e0cac8b7b7aefbc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19d67416ad436e66114d170d1829a73a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4609	0	0	0	0	0	0	0	0	0	0	0
97304e2fddb7c863724e69d152ed1884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12d0d607a39f00e2c5321c0355124443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	60	0	0	0	0	0	0	0	0	308	0	87	108	109	495	239	1012	66	120	378	63	438	133	22	0	0	601	41	16	69
cc29d2a9a06fb212c68d3e87ba2be9d6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4359	0	0	0	0	0	0	0	0	0
d4045873766186d81825c5b29556d225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4279	0	0	0	0	0	0	0	0	0
4f4077924bf5c45eae5c572ba91e6994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4270	0	0	0	0	0	0	0	0	0	0
89da00c18f5e8ff7d650fa7f7e7c664c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	361	272	123	0	817	0	0	298	306	0	203	329	0	652	252	502	0	0	0	0	0
ce53fc137ec236d4433c33795ecc1ab5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2cede531a3b4dd0f45bc605ca87aa4d5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4197	0	0	0	0	0	0	0	0	0	0	0
f3cf57496fc9286cffd842d92d78896e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	246	0	447	388	95	0	0	0	0	121	0	0	2237	477	0	42	0	0	0	0
ce5416ac11cb01b402816c9162ab1ee9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	213	265	206	134	357	247	260	182	354	213	289	216	207	176	154	261	52	62	50	178	94
1a8642cdd7b5270cd859da2f13664b72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9fd926ac5a33fdd49919b06ef5b0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ccf4c412e8bb15c7ee1e4099f8ff3f74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4113	0	0	0	0	0	0	0
2638778104e28170c0e75f440cc626c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9ea5c48d91b9b591ad0489dbc307068c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43ffd36ecc8f85c894f0c12ccbf2d4b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aa119c60b5dee3bb98b7aa29ce9878ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	30	18	0	0	77	0	259	0	119	0	0	2302	479	14	42	16	23	23	58	84	36	45	6	0	65	37	19	55	0	29	17	6	19	0
2d1426702506941a27d580281c38bfb0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a9b628960da145d2df201c6f79094620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3967	0	0	0	0	0	0	0
adb1fd67c1a5f30bc410ad2c07c4999c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3940	0	0	0	0	0	0	0	0	0	0	0	0
f1e3f0b44507a12b1a3eb18a9117cdd9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3939	0	0	0	0	0	0	0	0	0	0	0	0	0
25d622adc18cd088b7d75f0029dc9375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae11d8da58ad946b83d99056ae49dd21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3844	0	0	0	0	0	0
c0cd0106e99ac1ec004ea53af192f3b3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3833	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9549d4c9793a373520916308e2869e15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bfff719b9480ff7cf9dfd3d99e3267a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e367e4db400cc2c735fb07c65c02cb0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3744	0	0	0	0	0	0
f5352e5773e5010f2bdfd3e907c61756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3713	0	0	0	0	0	0	0	0	0	0	0	0	0
32e539dc7ac91213f33801b2475203b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3708	0	0	0	0	0	0	0	0	0	0
062df5baa98f8977a4076153eb708c06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0b1a15201ac825b9ac0cf2840342cc54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8c2da11fdf10e55afdea579eb44bdb73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3654	0	0	0	0	0	0	0	0	0	0	0	0	0
dff7a64abdae7b0adf105f5c0c6a81d5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3651	0	0	0	0	0	0	0
0a1c3bce93f760aa0c1005cb76d205a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d14e6bc88b82de6c5f208f7846379007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a669b2c619d911e30d4725628ae94263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2bb0294370191436c6d7f61e09db2a92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3565	0	0	0	0	0	0	0	0	0	0	0	0
1f2ca8b865470220a944226177a5bf30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3555	0	0	0	0	0	0	0	0	0	0	0	0	0
da4b9bd8bed77e068d36b9768649bad4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2cf11b43606e21b7071584e1b4ea7fca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5731e71264148cc2f3679ffbf63e820d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ed1fb5870854f98bdfc09c51401bfb3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3370	0	0	0	0	0	0	0	0	0	0
f7e21f74ef33456ce3f1db7de6e963d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3336	0	0	0	0	0	0	0	0	0
6e08bbb4fd7ea6d9a897f4016fed6bf9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8525dd4a54898d12263da587ba585a2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
007024e4fa59fa68f98007bac442301e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3249	0	0	0	0	0	0	0	0	0	0	0
0862eade1a4fd728c6967e841e634372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0dda8c0817b270c9395e3e88abfa703e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3222	0	0	0	0	0	0	0
b884565d1fde187f497cd4c202094479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
710154873cedd1fa51253ff53933dd65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf9607de9011ddacaa4c64e91aa80f93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3164	0	0	0	0	0	0	0	0	0
0975718b87c833cb3cf999bd9ee83d7d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f695b312f59076bea31f2589dd3ca334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3148	0	0	0	0	0	0	0	0	0
0d2cb9064017d72c543cbc055eb400ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3119	0
d69606d736997fc8c0285472ba98f6fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3118	0	0	0	0	0	0	0	0	0
